country,total_value,Code
USA,360609.6,USA
United Arab Emirates,289374.9,ARE
CHINA ,121806,CHN
HONG KONG,115693.3,HKG
SINGAPORE,101679.7,SGP
United Kingdom,79942.61,GBR
GERMANY,68855.45,DEU
NETHERLANDS,66581.17,NLD
SAUDI ARABIA,65995.99,SAU
BANGLADESH ,55472.64,BGD
BELGIUM,53969.1,BEL
VIETNAM ,48409.36,VNM
JAPAN,47822.15,JPN
FRANCE,44833.1,FRA
ITALY,44593.43,ITA
MALAYSIA,43377.7,MYS
INDONESIA,42148.84,IDN
SRI LANKA ,41516.39,LKA
NEPAL,39861.83,NPL
TURKEY,39360.96,TUR
BRAZIL,39272.08,BRA
SOUTH AFRICA,39151.16,ZAF
KOREA ,38023.02,PRK
ISRAEL,30725.72,ISR
THAILAND,30351.26,THA
SPAIN,29300.82,ESP
IRAN,28724.95,IRN
KENYA,25494.38,KEN
AUSTRALIA,25372.29,AUS
MEXICO,22946.47,MEX
EGYPT ,22571.67,EGY
NIGERIA,22134.41,NGA
TAIWAN,21234.51,TWN
OMAN,19798.81,OMN
CANADA,19050.24,CAN
RUSSIA,18008.31,RUS
TANZANIA ,17886.32,TZA
PAKISTAN ,17760.08,PAK
PHILIPPINES,12146.83,PHL
KUWAIT,11801.91,KWT
MAURITIUS,10448.7,MUS
SWITZERLAND,9992.56,CHE
IRAQ,9833.61,IRQ
MOZAMBIQUE,9692.6,MOZ
POLAND,9646.66,POL
QATAR,8662.85,QAT
ALGERIA,8232.24,DZA
COLOMBIA,8205.01,COL
JORDAN,7474.86,JOR
